"","Year","Month","Day","DayYear","T.max","T.min","T.mean","Rainfall","cumsum(gdd)"
"1",1970,1,1,1,-3.5,-4.8,-4.15,0,0
"2",1970,1,2,2,-1,-6.5,-3.75,0,0
"3",1970,1,3,3,1,-2.5,-0.75,2.7,0.142857142857143
"4",1970,1,4,4,0.8,-0.4,0.2,0.8,0.40952380952381
"5",1970,1,5,5,-0.1,-4.1,-2.1,4,0.40952380952381
"6",1970,1,6,6,-0.7,-4.5,-2.6,3.2,0.40952380952381
"7",1970,1,7,7,0,-4.8,-2.4,0,0.40952380952381
"8",1970,1,8,8,-0.3,-5.4,-2.85,0,0.40952380952381
"9",1970,1,9,9,3.6,-1.6,1,1.8,1.65567765567766
"10",1970,1,10,10,4.3,2.5,3.4,5.8,5.05567765567766
"11",1970,1,11,11,5.3,1.5,3.4,0.6,8.45567765567766
"12",1970,1,12,12,7.1,-0.2,3.45,0,11.9084173817051
"13",1970,1,13,13,7.3,0.9,4.1,0,16.0084173817051
"14",1970,1,14,14,5.2,-2.7,1.25,0.2,17.7198097867683
"15",1970,1,15,15,7,1.8,4.4,4.3,22.1198097867683
"16",1970,1,16,16,6,3.5,4.75,0.7,26.8698097867683
"17",1970,1,17,17,4.5,3.5,4,1,30.8698097867683
"18",1970,1,18,18,5,1.8,3.4,0,34.2698097867683
"19",1970,1,19,19,0.5,-1.3,-0.4,0,34.3392542312128
"20",1970,1,20,20,-0.5,-3.2,-1.85,0,34.3392542312128
"21",1970,1,21,21,-4.5,-6,-5.25,0,34.3392542312128
"22",1970,1,22,22,-1,-6,-3.5,2.1,34.3392542312128
"23",1970,1,23,23,3.5,-1.5,1,0.9,35.5642542312128
"24",1970,1,24,24,5.9,3,4.45,13.3,40.0142542312128
"25",1970,1,25,25,8.1,4.2,6.15,1.4,46.1642542312128
"26",1970,1,26,26,8.2,4.5,6.35,7.2,52.5142542312128
"27",1970,1,27,27,7.1,2,4.55,9.3,57.0642542312128
"28",1970,1,28,28,3.1,-2.2,0.45,0,57.9708580047977
"29",1970,1,29,29,3.3,-3,-0.9375,0,58.8351437190834
"30",1970,1,30,30,2.1,-0.2,-2.325,3.6,59.7938393712573
"31",1970,1,31,31,0.8,-3.7,-3.7125,0,59.8649504823684
"32",1970,2,1,32,-2,-8.2,-5.1,0,59.8649504823684
"33",1970,2,2,33,10.5,-6.8,1.85,0,63.0513666673395
"34",1970,2,3,34,7.8,4,5.9,0,68.9513666673395
"35",1970,2,4,35,7.1,0.5,3.8,0.6,72.7513666673395
"36",1970,2,5,36,6.6,2.6,4.6,3.1,77.3513666673395
"37",1970,2,6,37,4.5,-2.3,1.1,0.3,78.8403372555748
"38",1970,2,7,38,4.5,-6.1,-0.8,2.8,79.7955259348201
"39",1970,2,8,39,7.5,1,4.25,6.8,84.0455259348201
"40",1970,2,9,40,7,0.6,3.8,8.4,87.8455259348201
"41",1970,2,10,41,3.3,0.4,1.85,3.1,89.6955259348201
"42",1970,2,11,42,4,-2,1,0,91.0288592681534
"43",1970,2,12,43,4.2,-2,1.1,14.1,92.4514399133147
"44",1970,2,13,44,1.5,-2.4,-0.45,2.6,92.7399014517763
"45",1970,2,14,45,-0.2,-2.7,-1.45,0,92.7399014517763
"46",1970,2,15,46,-1.5,-7,-4.25,0,92.7399014517763
"47",1970,2,16,47,-3,-9.5,-6.25,2.8,92.7399014517763
"48",1970,2,17,48,2.8,-5.8,-1.5,2.5,93.1957154052646
"49",1970,2,18,49,1.1,-2.1,-0.5,0.9,93.3847779052646
"50",1970,2,19,50,4.5,-1,1.75,2.8,95.2256869961737
"51",1970,2,20,51,6.5,1.9,4.2,5.8,99.4256869961737
"52",1970,2,21,52,9.8,1.3,5.55,5.7,104.975686996174
"53",1970,2,22,53,10,6.6,8.3,3.1,113.275686996174
"54",1970,2,23,54,6.9,1.9,4.4,9.6,117.675686996174
"55",1970,2,24,55,4.6,2.7,3.65,2.3,121.325686996174
"56",1970,2,25,56,5.5,1.3,3.4,2.7,124.725686996174
"57",1970,2,26,57,4.6,-1,1.8,0.3,126.614972710459
"58",1970,2,27,58,2,-1,0.5,0,127.281639377126
"59",1970,2,28,59,0,-2.9,-1.45,0,127.281639377126
"60",1970,3,1,60,3,-4.9,-0.95,0,127.851259630291
"61",1970,3,2,61,2.5,-3.5,-0.5,5,128.372092963624
"62",1970,3,3,62,2.3,-6.4,-2.05,0,128.67611595213
"63",1970,3,4,63,1.1,-5,-1.95,0,128.775296279999
"64",1970,3,5,64,1,-5,-2,0.4,128.858629613332
"65",1970,3,6,65,2.3,-1.7,0.3,0,129.519879613332
"66",1970,3,7,66,1.7,-2.5,-0.4,2.1,129.86392723238
"67",1970,3,8,67,0.1,-3.8,-1.85,3.5,129.865209283662
"68",1970,3,9,68,1.5,-9.5,-4,0,129.967482010934
