"","Year","Month","Day","DayYear","T.max","T.min","T.mean","Rainfall","gdd.stt"
"1",1970,1,1,1,-3.5,-4.8,-4.15,0,0
"2",1970,1,2,2,-1,-6.5,-3.75,0,0
"3",1970,1,3,3,1,-2.5,-0.75,2.7,0
"4",1970,1,4,4,0.8,-0.4,0.2,0.8,0.2
"5",1970,1,5,5,-0.1,-4.1,-2.1,4,0
"6",1970,1,6,6,-0.7,-4.5,-2.6,3.2,0
"7",1970,1,7,7,0,-4.8,-2.4,0,0
"8",1970,1,8,8,-0.3,-5.4,-2.85,0,0
"9",1970,1,9,9,3.6,-1.6,1,1.8,1
"10",1970,1,10,10,4.3,2.5,3.4,5.8,3.4
"11",1970,1,11,11,5.3,1.5,3.4,0.6,3.4
"12",1970,1,12,12,7.1,-0.2,3.45,0,3.45
"13",1970,1,13,13,7.3,0.9,4.1,0,4.1
"14",1970,1,14,14,5.2,-2.7,1.25,0.2,1.25
"15",1970,1,15,15,7,1.8,4.4,4.3,4.4
"16",1970,1,16,16,6,3.5,4.75,0.7,4.75
"17",1970,1,17,17,4.5,3.5,4,1,4
"18",1970,1,18,18,5,1.8,3.4,0,3.4
"19",1970,1,19,19,0.5,-1.3,-0.4,0,0
"20",1970,1,20,20,-0.5,-3.2,-1.85,0,0
"21",1970,1,21,21,-4.5,-6,-5.25,0,0
"22",1970,1,22,22,-1,-6,-3.5,2.1,0
"23",1970,1,23,23,3.5,-1.5,1,0.9,1
"24",1970,1,24,24,5.9,3,4.45,13.3,4.45
"25",1970,1,25,25,8.1,4.2,6.15,1.4,6.15
"26",1970,1,26,26,8.2,4.5,6.35,7.2,6.35
"27",1970,1,27,27,7.1,2,4.55,9.3,4.55
"28",1970,1,28,28,3.1,-2.2,0.45,0,0.45
"29",1970,1,29,29,3.3,-3,-0.9375,0,0
"30",1970,1,30,30,2.1,-0.2,-2.325,3.6,0
"31",1970,1,31,31,0.8,-3.7,-3.7125,0,0
"32",1970,2,1,32,-2,-8.2,-5.1,0,0
"33",1970,2,2,33,10.5,-6.8,1.85,0,1.85
"34",1970,2,3,34,7.8,4,5.9,0,5.9
"35",1970,2,4,35,7.1,0.5,3.8,0.6,3.8
"36",1970,2,5,36,6.6,2.6,4.6,3.1,4.6
"37",1970,2,6,37,4.5,-2.3,1.1,0.3,1.1
"38",1970,2,7,38,4.5,-6.1,-0.8,2.8,0
"39",1970,2,8,39,7.5,1,4.25,6.8,4.25
"40",1970,2,9,40,7,0.6,3.8,8.4,3.8
"41",1970,2,10,41,3.3,0.4,1.85,3.1,1.85
"42",1970,2,11,42,4,-2,1,0,1
"43",1970,2,12,43,4.2,-2,1.1,14.1,1.1
"44",1970,2,13,44,1.5,-2.4,-0.45,2.6,0
"45",1970,2,14,45,-0.2,-2.7,-1.45,0,0
"46",1970,2,15,46,-1.5,-7,-4.25,0,0
"47",1970,2,16,47,-3,-9.5,-6.25,2.8,0
"48",1970,2,17,48,2.8,-5.8,-1.5,2.5,0
"49",1970,2,18,49,1.1,-2.1,-0.5,0.9,0
"50",1970,2,19,50,4.5,-1,1.75,2.8,1.75
"51",1970,2,20,51,6.5,1.9,4.2,5.8,4.2
"52",1970,2,21,52,9.8,1.3,5.55,5.7,5.55
"53",1970,2,22,53,10,6.6,8.3,3.1,8.3
"54",1970,2,23,54,6.9,1.9,4.4,9.6,4.4
"55",1970,2,24,55,4.6,2.7,3.65,2.3,3.65
"56",1970,2,25,56,5.5,1.3,3.4,2.7,3.4
"57",1970,2,26,57,4.6,-1,1.8,0.3,1.8
"58",1970,2,27,58,2,-1,0.5,0,0.5
"59",1970,2,28,59,0,-2.9,-1.45,0,0
"60",1970,3,1,60,3,-4.9,-0.95,0,0
"61",1970,3,2,61,2.5,-3.5,-0.5,5,0
"62",1970,3,3,62,2.3,-6.4,-2.05,0,0
"63",1970,3,4,63,1.1,-5,-1.95,0,0
"64",1970,3,5,64,1,-5,-2,0.4,0
"65",1970,3,6,65,2.3,-1.7,0.3,0,0.3
"66",1970,3,7,66,1.7,-2.5,-0.4,2.1,0
"67",1970,3,8,67,0.1,-3.8,-1.85,3.5,0
"68",1970,3,9,68,1.5,-9.5,-4,0,0
"69",1970,3,10,69,4,0.3,2.15,10.2,2.15
"70",1970,3,11,70,1.5,-3.2,-0.85,3.3,0
"71",1970,3,12,71,5.4,-2.9,1.25,0,1.25
"72",1970,3,13,72,9.3,-0.1,4.6,0,4.6
"73",1970,3,14,73,3.9,-1.1,1.4,0,1.4
"74",1970,3,15,74,5.6,-2,1.8,0,1.8
"75",1970,3,16,75,7.5,1,4.25,0.3,4.25
"76",1970,3,17,76,6,3,4.5,0,4.5
"77",1970,3,18,77,10,1.6,5.8,8.3,5.8
"78",1970,3,19,78,7.4,1.5,4.45,2.1,4.45
"79",1970,3,20,79,6.9,2.6,4.75,2.7,4.75
